partner_id,name,type,state,district,address,contact_number,email,navigation_link,active,supported_scheme_types,fund_utilization_status,fund_utilization_note,npa_percentage,eligible_for_new_applications,source_url,data_verified,last_verified,note
CP063,Andhra Pradesh Grameena Bank,RRB,Andhra Pradesh,,"4th Floor, Raghu Mansion, 4-1, Broadipet, Guntur -522 002 (Andhra Pradesh).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP064,Punjab Gramin Bank,RRB,Punjab,,"HO Jalandhar Road, Kapurthala – 144 601. (Punjab).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP065,Tamil Nadu Grama Bank,RRB,Tamil Nadu,,"6, Yercaud Road, Hasthasmpatti, Salem – 636007 (Tamil Nadu).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP066,Madhya Pradesh Gramin Bank,RRB,Madhya Pradesh,,"C21, Business Park, C21 Square opposite Hotel Radisson Blue, MR-10, Indore- 452010, Madhya Pradesh.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP067,Himachal Pradesh Gramin Bank,RRB,Himachal Pradesh,,"Jail Road (Panjethi), PO – Talyahar, Mandi 175001 (Himachal Pradesh).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP068,Puducherry Grama Bank,RRB,Puducherry,,"No.441, Mahatma Gandhi Road, Muthialpet, Puducherry – 605 003.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP069,West Bengal Gramin Bank,RRB,West Bengal,,"Natabar Paul Road, Chatterjee Para More, Tikiapara, Howrah – 711101 (WB).",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP070,Chhattisgarh Gramin Bank,RRB,Chhattisgarh,,"Corporate Office Raipur, Plot No.-47, Sector-24, Atal Nagar, Nava Raipur-492013.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP071,Manipur Rural Bank,RRB,Manipur,,"Keishampat, Keisham Leikai, Imphal, Manipur 795001.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP072,Meghalaya Rural Bank,RRB,Meghalaya,,"M.T.C Building, 2nd Floor, Police Bazar, Shillong-793001.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP073,J&K Grameen Bank,RRB,Jammu & Kashmir,,"Near Fruit Complex, Narwal, Jammu (J&K) -180006.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP074,Odisha Grameen Bank,RRB,Odisha,,"7R25-H75, Jagamara, Sunderpada Road, Gandamuda, Pokhariput, Bhubaneshwar -751030, Odisha.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP075,Mizoram Rural Bank,RRB,Mizoram,,"MINECO, Khatla Aizawl - 796001.",,,,True,"General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; likely Term Loan/MFS as alternate channel, verify with NSFDC before hard-coding",Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP076,Anik Financial Services Private Limited,NBFC-MFI,Maharashtra,,"Regd. Office: 'Sahyadri Building', Behind Amitesh Hotel, Ambajogai Road, Sai Naka, Latur – 413 512.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP077,Grameen Development & Finance Private Limited,NBFC-MFI,Assam,,"Dubjent, Kulshi Road, Chhaygaon, Kamrup, Assam Pin – 781 124.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP078,"ASA International Microfinance Ltd., Kolkata",NBFC-MFI,West Bengal,,"Victoria Park, 4th Floor, GN-37/2, Sector-V, Salt Lake City, Kolkata – 700 091, West Bengal.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP079,"Midland Microfin Ltd., Ludhiana",NBFC-MFI,Punjab,,"The Axis, Plot No.1, R.B. Badri Dass Colony, BMC Chowk, G.T. Road, Jalandhar – 144 001, Punjab.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP080,"Satin Creditcare Network Ltd., Gurgaon",NBFC-MFI,Haryana,,"Plot No.492, Udyog Vihar, Phase-III, Gurugram, Haryana – 122 016.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP081,"Pahal Financial Services Pvt. Ltd., Ahmedabad",NBFC-MFI,Gujarat,,"7th Floor, Binori B Square-2, Opp. Hathising Ni Vadi, Ambli-Iscon Road, Ahmedabad – 380 054, Gujarat.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP082,Vector Finance Pvt. Ltd.,NBFC-MFI,Odisha,,"RO-K7/110, Ground Floor, Klinga Vihar, P.S. Khandagiri, Bhubaneswar, Odisha-751029.",,,,True,Aajeevika Micro-Finance Yojana (AMY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP083,AU Small Finance Bank,Small Finance Bank,Multi-state (HQ Jaipur),,,,,,True,Udyam Nidhi Yojana (UNY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,"Address not given in source PDF (name-only list); state is approximate HQ location, verify before using for routing."
CP084,Ujjivan Small Finance Bank,Small Finance Bank,Multi-state (HQ Bengaluru),,,,,,True,Udyam Nidhi Yojana (UNY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,"Address not given in source PDF (name-only list); state is approximate HQ location, verify before using for routing."
CP085,"Streenidhi, Telangana",Cooperative Society,Telangana,,"401 & 402, 4th Floor, My Home Sarovar Plaza, Secretariat Road, Ambedkar Colony, Saifabad, Hyderabad, Telangana 500004.",,,,True,Udyam Nidhi Yojana (UNY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP086,Streenidhi AP,Cooperative Society,Andhra Pradesh,,"2nd Floor, NTR Administrative Block, RTC Complex, Vijayawada-520013, Andhra Pradesh.",,,,True,Udyam Nidhi Yojana (UNY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP087,Shri Mahila Sewa Sahakari Bank Ltd.,Cooperative Bank,Gujarat,,"109, Sakar-II, Opp. Town Hall, Ellisbridge, Ahmedabad- 380006.",,,,True,Udyam Nidhi Yojana (UNY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP088,Konoklata Mahila Urban Cooperative Bank,Cooperative Bank,Assam,,Assam.,,,,True,Udyam Nidhi Yojana (UNY),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP089,North Eastern Development Finance Corporation Ltd. (NEDFi),Other Agency & SIDBI,Assam,,"Tea Auction Center, GS Rd, Sanket Vihar, Dispur, Opposite, Guwahati, Assam 781006.",,,,True,General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; verify with NSFDC,Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP090,Jharkhand Silk Textile & Handicraft Development Corporation Ltd. (JHARCRAFT),Other Agency & SIDBI,Jharkhand,,"Jharcraft, DIC Campus Ratu Road, Ranchi, Jharkhand 834001.",,,,True,General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; verify with NSFDC,Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP091,Small Industries Development Bank of India (SIDBI),Other Agency & SIDBI,Uttar Pradesh,,"SIDBI Tower, 15, Ashok Marg, Lucknow - 226001, Uttar Pradesh.",,,,True,General banking channel — not explicitly scheme-tied on NSFDC's per-scheme table; verify with NSFDC,Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
